world,arm,reference_mean,estimate,lower80,upper80
W01,Opaque,0.7160339117050171,0.699,0.25,0.9
W02,Opaque,0.6546313166618347,0.629,0.45,0.8
W03,Opaque,0.5796797871589661,0.563,0.43,0.7
W04,Opaque,0.5173070788383484,0.52,0.15,0.88
W05,Opaque,0.44796587228775026,0.413,0.2,0.7
W01,Aligned,0.7160339117050171,0.104,0.044,0.225
W02,Aligned,0.6546313166618347,0.0804,0.053,0.108
W03,Aligned,0.5796797871589661,0.11,0.045,0.19
W04,Aligned,0.5173070788383484,0.0724,0.04,0.105
W05,Aligned,0.44796587228775026,0.079,0.035,0.13
W01,MisIndexed,0.7160339117050171,0.109245,0.077245,0.141245
W02,MisIndexed,0.6546313166618347,0.0806,0.0556,0.1056
W03,MisIndexed,0.5796797871589661,0.46,0.1,0.75
W04,MisIndexed,0.5173070788383484,0.0962,0.04,0.45
W05,MisIndexed,0.44796587228775026,0.0681,0.04,0.096
