world,arm,batch,nominal_concentration,dissociation
W01,Opaque,1,0.1,0.06178868189454079
W01,Opaque,2,0.06666666666666667,0.07541506737470627
W01,Opaque,3,0.05,0.08337978273630142
W01,Opaque,4,0.3,0.06954658776521683
W01,Opaque,5,0.2,0.07714972645044327
W01,Opaque,6,0.15,0.07015854120254517
W01,Opaque,7,0.6,0.06900952756404877
W01,Opaque,8,0.4,0.0699998140335083
W01,Opaque,9,0.3,0.06701572984457016
W01,Opaque,10,1.0,0.06700129806995392
W01,Opaque,11,0.6666666666666667,0.07901351153850555
W01,Opaque,12,0.5,0.06431695818901062
W01,Aligned,1,0.05555555555555556,0.07999417185783386
W01,Aligned,2,0.018518518518518517,0.09229202568531036
W01,Aligned,3,0.1,0.07166013866662979
W01,Aligned,4,0.2,0.07688015699386597
W01,Aligned,5,0.3,0.07057593762874603
W01,Aligned,6,0.4,0.0745316594839096
W01,Aligned,7,0.5,0.07000169157981873
W01,Aligned,8,0.6,0.07351823151111603
W01,Aligned,9,0.7,0.06519639492034912
W01,Aligned,10,0.8,0.07253190875053406
W01,Aligned,11,0.5,0.0620335154235363
W01,Aligned,12,1.0,0.06836402416229248
W01,MisIndexed,1,0.05555555555555556,0.07965967059135437
W01,MisIndexed,2,0.018518518518518517,0.09245739877223969
W01,MisIndexed,3,0.25,0.07187044620513916
W01,MisIndexed,4,0.08333333333333334,0.07172390073537827
W01,MisIndexed,5,0.5,0.07693257927894592
W01,MisIndexed,6,0.16666666666666669,0.0704350620508194
W01,MisIndexed,7,0.5,0.06113560125231743
W01,MisIndexed,8,0.5,0.06889748573303223
W01,MisIndexed,9,0.5,0.0790158212184906
W01,MisIndexed,10,1.0,0.06905162334442139
W01,MisIndexed,11,1.0,0.06900256127119064
W01,MisIndexed,12,2.0,0.07460404187440872
W02,Opaque,1,0.1,0.0780608281493187
W02,Opaque,2,0.1,0.06916224956512451
W02,Opaque,3,0.2,0.07047206908464432
W02,Opaque,4,0.2,0.06671597808599472
W02,Opaque,5,0.3,0.07173798978328705
W02,Opaque,6,0.3,0.06924949586391449
W02,Opaque,7,0.4,0.08573054522275925
W02,Opaque,8,0.4,0.06824623793363571
W02,Opaque,9,0.1,0.06470905244350433
W02,Opaque,10,0.2,0.07012894749641418
W02,Opaque,11,0.3,0.06880712509155273
W02,Opaque,12,0.4,0.06169937551021576
W02,Aligned,1,0.05555555555555556,0.06766913831233978
W02,Aligned,2,0.02777777777777778,0.07593271136283875
W02,Aligned,3,0.018518518518518517,0.07896818965673447
W02,Aligned,4,0.33333333333333337,0.07859472185373306
W02,Aligned,5,0.16666666666666669,0.07607603073120117
W02,Aligned,6,0.11111111111111112,0.0689089298248291
W02,Aligned,7,0.8333333333333334,0.06930087506771088
W02,Aligned,8,0.4166666666666667,0.06123334914445877
W02,Aligned,9,0.2777777777777778,0.07044246792793274
W02,Aligned,10,1.6666666666666667,0.08055677264928818
W02,Aligned,11,0.8333333333333334,0.06931740045547485
W02,Aligned,12,0.5555555555555556,0.0648609921336174
W02,MisIndexed,1,0.01851851851851852,0.07976721972227097
W02,MisIndexed,2,0.018518518518518517,0.07670888304710388
W02,MisIndexed,3,0.07407407407407407,0.06773543357849121
W02,MisIndexed,4,0.2222222222222222,0.06549385190010071
W02,MisIndexed,5,0.4444444444444444,0.0723043829202652
W02,MisIndexed,6,0.7407407407407407,0.07367865741252899
W02,MisIndexed,7,0.11111111111111112,0.06229472532868385
W02,MisIndexed,8,0.1111111111111111,0.07591580599546432
W02,MisIndexed,9,0.33333333333333337,0.06916544586420059
W02,MisIndexed,10,0.33333333333333326,0.06999561935663223
W02,MisIndexed,11,0.6666666666666667,0.07796955108642578
W02,MisIndexed,12,0.6666666666666665,0.07084695249795914
W03,Opaque,1,0.16666666666666669,0.06913945078849792
W03,Opaque,2,0.4166666666666667,0.06765927374362946
W03,Opaque,3,0.75,0.07457428425550461
W03,Opaque,4,1.1666666666666667,0.07087809592485428
W03,Opaque,5,0.09999999999999999,0.05941609665751457
W03,Opaque,6,0.25,0.07070863991975784
W03,Opaque,7,0.44999999999999996,0.0618293434381485
W03,Opaque,8,0.7000000000000001,0.07171641290187836
W03,Opaque,9,0.0625,0.06982974708080292
W03,Opaque,10,0.15625,0.07632625848054886
W03,Opaque,11,0.28125,0.07168608903884888
W03,Opaque,12,0.43750000000000006,0.08216778934001923
W03,Aligned,1,0.01851851851851852,0.08021844178438187
W03,Aligned,2,0.05555555555555556,0.07675820589065552
W03,Aligned,3,0.05,0.07635956257581711
W03,Aligned,4,0.1,0.06636381894350052
W03,Aligned,5,0.2,0.06532000005245209
W03,Aligned,6,0.4,0.06336615234613419
W03,Aligned,7,0.6,0.06376644223928452
W03,Aligned,8,1.0,0.06440995633602142
W03,Aligned,9,0.2,0.07485009729862213
W03,Aligned,10,0.2,0.07904928922653198
W03,Aligned,11,0.3,0.07187177240848541
W03,Aligned,12,0.5,0.075769804418087
W03,MisIndexed,1,0.05555555555555556,0.06860742717981339
W03,MisIndexed,2,0.01851851851851852,0.07407823950052261
