world,query,nominal_concentration,dissociation
W01,Q03,0.00013333333333333334,0.36348559260368346
W01,Q08,1.3333333333333333e-05,0.7160339117050171
W01,Q09,0.00016666666666666666,0.3347137629985809
W01,Q01,0.014999999999999998,0.0861680656671524
W01,Q02,0.014999999999999998,0.08584973365068435
W01,Q04,0.0016666666666666668,0.14472221136093139
W01,Q05,0.08333333333333333,0.06971781402826309
W01,Q06,0.08333333333333333,0.07383093535900116
W01,Q07,0.08333333333333333,0.07478502839803695
W01,Q10,6.666666666666667,0.06969298869371414
W01,Q11,0.5333333333333333,0.06843323409557342
W01,Q12,0.13636363636363635,0.07172849476337433
W02,Q03,0.00013333333333333334,0.3107993721961975
W02,Q08,1.3333333333333333e-05,0.6546313166618347
W02,Q09,0.00016666666666666666,0.2876996576786041
W02,Q01,0.014999999999999998,0.07906392365694045
W02,Q02,0.014999999999999998,0.08081925213336945
W02,Q04,0.0016666666666666668,0.12886210083961486
W02,Q05,0.08333333333333333,0.07287711650133133
W02,Q06,0.08333333333333333,0.07057328224182129
W02,Q07,0.08333333333333333,0.0705275446176529
W02,Q10,6.666666666666667,0.07466239780187607
W02,Q11,0.5333333333333333,0.06730689853429794
W02,Q12,0.13636363636363635,0.0708839863538742
W03,Q03,0.00013333333333333334,0.2709691047668457
W03,Q08,1.3333333333333333e-05,0.5796797871589661
W03,Q09,0.00016666666666666666,0.24457126259803771
W03,Q01,0.014999999999999998,0.07505308985710143
W03,Q02,0.014999999999999998,0.07837878167629242
W03,Q04,0.0016666666666666668,0.11494708955287933
W03,Q05,0.08333333333333333,0.0727116271853447
W03,Q06,0.08333333333333333,0.07409881055355072
W03,Q07,0.08333333333333333,0.0689605012536049
W03,Q10,6.666666666666667,0.07258645445108414
W03,Q11,0.5333333333333333,0.07355378419160843
W03,Q12,0.13636363636363635,0.07131529599428177
W04,Q03,0.00013333333333333334,0.22882964015007018
W04,Q08,1.3333333333333333e-05,0.5173070788383484
W04,Q09,0.00016666666666666666,0.2103007346391678
W04,Q01,0.014999999999999998,0.07664356157183647
W04,Q02,0.014999999999999998,0.08080480396747589
W04,Q04,0.0016666666666666668,0.10653650313615799
W04,Q05,0.08333333333333333,0.06861342042684555
W04,Q06,0.08333333333333333,0.06517552360892295
W04,Q07,0.08333333333333333,0.06811264902353287
W04,Q10,6.666666666666667,0.07442056089639663
W04,Q11,0.5333333333333333,0.0679929330945015
W04,Q12,0.13636363636363635,0.07082647681236268
W05,Q03,0.00013333333333333334,0.19685897529125213
W05,Q08,1.3333333333333333e-05,0.44796587228775026
W05,Q09,0.00016666666666666666,0.17883979380130768
W05,Q01,0.014999999999999998,0.07400200963020324
W05,Q02,0.014999999999999998,0.07501154094934463
W05,Q04,0.0016666666666666668,0.09514503031969071
W05,Q05,0.08333333333333333,0.07452499121427536
W05,Q06,0.08333333333333333,0.07091640532016755
W05,Q07,0.08333333333333333,0.07023018449544907
W05,Q10,6.666666666666667,0.07277408242225647
W05,Q11,0.5333333333333333,0.07168134152889252
W05,Q12,0.13636363636363635,0.0686874195933342
