id,world,arm,budget,conforming,crystal_yield_agent_mae_pp,crystal_yield_baseline_mae_pp,crystal_purity_agent_mae_pp,crystal_purity_baseline_mae_pp,purity_source_observed_mean,purity_source_observed_range,purity_reference_mean,purity_reference_range,purity_prediction_mean,purity_prediction_range,purity_signed_bias,purity_underestimated_queries,purity_queries
C-W01-B12-E-Opaque,W01,Opaque,12,True,8.488591451837886,18.20380860955467,1.3552582538474431,0.44160276351503475,0.9862130035956701,"[0.9698945879936218, 1.0]",0.9849751223990735,"[0.9755657281019747, 0.9992127405246362]",0.9725,"[0.94, 0.98]",-0.012475122399073465,10,12
C-W01-B12-E-Aligned,W01,Aligned,12,True,4.601898223189693,21.60226379226595,9.830845573240676,0.7625750492410006,0.9912784993648529,"[0.9824151992797852, 1.0]",0.9849751223990735,"[0.9755657281019747, 0.9992127405246362]",0.8866666666666667,"[0.83, 0.96]",-0.09830845573240676,12,12
C-W01-B12-E-MisIndexed,W01,MisIndexed,12,True,5.685231556523027,20.42957866580238,10.414178906574012,0.4738603005620993,0.9868581543366114,"[0.9743582010269165, 1.0]",0.9849751223990735,"[0.9755657281019747, 0.9992127405246362]",0.8808333333333334,"[0.83, 0.95]",-0.10414178906574012,12,12
C-W01-B24-E-Opaque,W01,Opaque,24,True,14.363591451837884,15.718255372255543,1.7730203888803548,0.48204030418712757,0.983303427696228,"[0.9633278250694275, 0.9996579885482788]",0.9849751223990735,"[0.9755657281019747, 0.9992127405246362]",0.9675833333333334,"[0.92, 0.985]",-0.017391789065740126,11,12
C-W01-B24-E-Aligned,W01,Aligned,24,True,5.51856488985636,20.58498001983712,1.495183626485703,0.46701048511397597,0.9867211580276489,"[0.9577596783638, 1.0]",0.9849751223990735,"[0.9755657281019747, 0.9992127405246362]",0.9708333333333333,"[0.93, 0.99]",-0.014141789065740124,11,12
C-W01-B24-E-MisIndexed,W01,MisIndexed,24,True,9.97612921202151,25.79920663824628,9.497512239907344,0.49645766315988643,0.9873101015885671,"[0.9629822373390198, 1.0]",0.9849751223990735,"[0.9755657281019747, 0.9992127405246362]",0.89,"[0.84, 0.94]",-0.09497512239907345,12,12
C-W02-B24-E-Aligned,W02,Aligned,24,True,5.426107851815112,11.545300690377724,3.8489902625725136,0.5512629897723286,0.9878514185547829,"[0.9642019271850586, 1.0]",0.9843232359590585,"[0.9748706825169815, 0.9991734158266848]",0.9458333333333333,"[0.88, 0.98]",-0.03848990262572514,12,12
C-W02-B24-E-MisIndexed,W02,MisIndexed,24,True,9.092825683582134,23.52034856839793,3.8073235959058476,0.43024866226399433,0.9857186178366343,"[0.9628522396087646, 1.0]",0.9843232359590585,"[0.9748706825169815, 0.9991734158266848]",0.94625,"[0.91, 0.98]",-0.038073235959058475,12,12
C-W02-B24-E-Opaque,W02,Opaque,24,True,11.634492350248802,10.125067273916134,3.0156569292391815,0.45633607799439313,0.9832783962289492,"[0.9566240906715393, 1.0]",0.9843232359590585,"[0.9748706825169815, 0.9991734158266848]",0.9541666666666666,"[0.92, 0.98]",-0.030156569292391817,12,12
C-W02-B12-E-Aligned,W02,Aligned,12,True,4.015630576676812,24.04500069681622,3.515656929239181,0.4170096404171107,0.98457703491052,"[0.9726399183273315, 1.0]",0.9843232359590585,"[0.9748706825169815, 0.9991734158266848]",0.9491666666666667,"[0.92, 0.97]",-0.03515656929239181,12,12
C-W02-B12-E-MisIndexed,W02,MisIndexed,12,True,17.649450100584204,10.615663272818319,4.2656569292391815,0.4158550741177482,0.9846709072589874,"[0.9671863317489624, 1.0]",0.9843232359590585,"[0.9748706825169815, 0.9991734158266848]",0.9416666666666665,"[0.9, 0.97]",-0.04265656929239181,12,12
C-W02-B12-E-Opaque,W02,Opaque,12,False,38.13063949211257,5.985374777542333,1.432323595905848,0.5150055544914461,0.9815183119340376,"[0.9630375504493713, 1.0]",0.9843232359590585,"[0.9748706825169815, 0.9991734158266848]",0.9700000000000001,"[0.94, 0.99]",-0.01432323595905848,12,12
C-W03-B12-E-MisIndexed,W03,MisIndexed,12,True,5.47456547352344,29.39114269636789,8.709582857158809,0.4263537114872956,0.9861475378274918,"[0.9679437875747681, 1.0]",0.9854291619049214,"[0.9743082226829268, 0.99972730095456]",0.8983333333333333,"[0.84, 0.96]",-0.08709582857158808,12,12
C-W03-B12-E-Opaque,W03,Opaque,12,True,6.159647514240799,22.015390763905838,0.590793581992959,0.4610332991084108,0.9846985538800558,"[0.971072793006897, 1.0]",0.9854291619049214,"[0.9743082226829268, 0.99972730095456]",0.981,"[0.965, 0.993]",-0.004429161904921421,9,12
C-W03-B12-E-Aligned,W03,Aligned,12,True,4.090695068618409,26.06108806553204,3.3762495238254773,0.44990613603828705,0.9874898393948873,"[0.9788765907287598, 1.0]",0.9854291619049214,"[0.9743082226829268, 0.99972730095456]",0.9516666666666667,"[0.93, 0.98]",-0.033762495238254774,12,12
C-W03-B24-E-MisIndexed,W03,MisIndexed,24,True,6.046576488987291,5.04680446607268,0.9595828571588092,0.4869434381922731,0.9839212497075399,"[0.965092658996582, 1.0]",0.9854291619049214,"[0.9743082226829268, 0.99972730095456]",0.9758333333333332,"[0.97, 0.98]",-0.009595828571588092,12,12
C-W03-B24-E-Opaque,W03,Opaque,24,True,8.71435918491909,16.89264386418183,2.887779145776695,0.4672700973418681,0.9845114499330521,"[0.9542868733406067, 1.0]",0.9854291619049214,"[0.9743082226829268, 0.99972730095456]",0.9575,"[0.91, 0.98]",-0.027929161904921423,11,12
