panel,system,goal,metric,field,world,arm,value12,value24,favorable_change,conforming12,conforming24,source12,source24
a,EC,discovery,score,mae,EC-W01,Opaque,0.08839383201052746,0.07073584771404663,0.017657984296480828,True,True,EC-W01-B12-discovery-E-Opaque,EC-W01-B24-discovery-E-Opaque
a,EC,discovery,score,mae,EC-W01,Aligned,0.26198136849949755,0.2324548725709319,0.029526495928565655,True,True,EC-W01-B12-discovery-E-Aligned,EC-W01-B24-discovery-E-Aligned
a,EC,discovery,score,mae,EC-W01,MisIndexed,0.2467211788520217,0.03676262196153402,0.20995855689048767,True,True,EC-W01-B12-discovery-E-MisIndexed,EC-W01-B24-discovery-E-MisIndexed
a,EC,discovery,score,mae,EC-W02,Opaque,0.2737989967850347,0.13658966821307936,0.13720932857195536,True,True,EC-W02-B12-discovery-E-Opaque,EC-W02-B24-discovery-E-Opaque
a,EC,discovery,score,mae,EC-W02,Aligned,0.0717608553516368,0.04860931696370244,0.023151538387934364,True,True,EC-W02-B12-discovery-E-Aligned,EC-W02-B24-discovery-E-Aligned
a,EC,discovery,score,mae,EC-W02,MisIndexed,0.12580642761662603,0.06306643317018946,0.06273999444643656,True,True,EC-W02-B12-discovery-E-MisIndexed,EC-W02-B24-discovery-E-MisIndexed
a,EC,discovery,score,mae,EC-W03,Opaque,0.06496707275696098,0.17245103632596634,-0.10748396356900536,True,True,EC-W03-B12-discovery-E-Opaque,EC-W03-B24-discovery-E-Opaque
a,EC,discovery,score,mae,EC-W03,Aligned,0.245367702992633,0.07279172000475227,0.17257598298788074,True,True,EC-W03-B12-discovery-E-Aligned,EC-W03-B24-discovery-E-Aligned
a,EC,discovery,score,mae,EC-W03,MisIndexed,0.06010564960228901,0.07562247782138488,-0.015516828219095877,True,True,EC-W03-B12-discovery-E-MisIndexed,EC-W03-B24-discovery-E-MisIndexed
a,EC,discovery,score,mae,EC-W04,Opaque,0.2595547816157341,0.10837637176116306,0.15117840985457104,True,True,EC-W04-B12-discovery-E-Opaque,EC-W04-B24-discovery-E-Opaque
a,EC,discovery,score,mae,EC-W04,Aligned,0.26550593187411625,0.07764562100172043,0.18786031087239582,True,True,EC-W04-B12-discovery-E-Aligned,EC-W04-B24-discovery-E-Aligned
a,EC,discovery,score,mae,EC-W04,MisIndexed,0.16542346356312435,0.06675613731145859,0.09866732625166576,True,True,EC-W04-B12-discovery-E-MisIndexed,EC-W04-B24-discovery-E-MisIndexed
a,EC,discovery,score,mae,EC-W05,Opaque,0.2899702033102512,0.11242090160648029,0.17754930170377092,True,True,EC-W05-B12-discovery-E-Opaque,EC-W05-B24-discovery-E-Opaque
a,EC,discovery,score,mae,EC-W05,Aligned,0.12505230648318927,0.2945455375810464,-0.16949323109785713,True,True,EC-W05-B12-discovery-E-Aligned,EC-W05-B24-discovery-E-Aligned
a,EC,discovery,score,mae,EC-W05,MisIndexed,0.062241340468327196,0.11443554773926734,-0.052194207270940145,True,True,EC-W05-B12-discovery-E-MisIndexed,EC-W05-B24-discovery-E-MisIndexed
b,EC,optimization,score,mae,EC-W01,Opaque,0.22939738071213167,0.12331343190123635,0.10608394881089532,True,True,EC-W01-B12-optimization-E-Opaque,EC-W01-B24-optimization-E-Opaque
b,EC,optimization,score,mae,EC-W01,Aligned,0.05723217924684287,0.17916506671657165,-0.12193288746972877,True,True,EC-W01-B12-optimization-E-Aligned,EC-W01-B24-optimization-E-Aligned
b,EC,optimization,score,mae,EC-W01,MisIndexed,0.16618489042669535,0.19198738626390696,-0.025802495837211614,True,True,EC-W01-B12-optimization-E-MisIndexed,EC-W01-B24-optimization-E-MisIndexed
b,EC,optimization,score,mae,EC-W02,Opaque,0.047836743810524544,0.05349056655044356,-0.005653822739919018,True,True,EC-W02-B12-optimization-E-Opaque,EC-W02-B24-optimization-E-Opaque
b,EC,optimization,score,mae,EC-W02,Aligned,0.074115731138736,0.03750715988998612,0.03660857124874988,True,True,EC-W02-B12-optimization-E-Aligned,EC-W02-B24-optimization-E-Aligned
b,EC,optimization,score,mae,EC-W02,MisIndexed,0.13888650526478888,0.054602771221349634,0.08428373404343925,True,True,EC-W02-B12-optimization-E-MisIndexed,EC-W02-B24-optimization-E-MisIndexed
b,EC,optimization,score,mae,EC-W03,Opaque,0.24565021166391673,0.08402900689033171,0.16162120477358502,True,True,EC-W03-B12-optimization-E-Opaque,EC-W03-B24-optimization-E-Opaque
