world,original_recovery,original_regret,original_prediction_mae,original_prediction_n,complete_recovery,complete_regret,complete_prediction_mae,complete_prediction_n
W2-87-world-01,0.5,0.27869697348871253,0.02843722264338401,2,1,0.0,0.005350364825233583,2
W2-87-world-02,1,0.036007553904939406,0.019393464525043966,2,1,0.036007553904939406,0.00522160109835863,2
W2-87-world-03,1,0.04136497933869604,0.026490685004120464,2,1,0.0,0.006903405685385923,2
W2-87-world-04,0,0.0,0.025600543280124663,2,1,0.0,0.004281585191827267,2
W2-87-world-05,0,0.005107729144412044,0.10753216049479088,2,1,0.005107729144412044,0.006911779432387558,2
W2-87-world-06,0,0.01756273702812746,0.032100906448788005,2,1,0.02975390293792114,0.00594002445362322,2
W2-87-world-07,0,0.03438026975209854,0.03421978999597021,2,1,0.003942143254766654,0.006036752146381889,2
W2-87-world-08,0.5,0.028558866576437632,0.02707522720508982,2,1,0.0,0.006722753161670636,2
W2-87-world-09,0,0.04927124146801509,0.03171851516857743,2,1,0.0,0.006525029503885651,2
W2-87-world-10,0,0.21878698395523066,0.05452365357687085,2,1,0.0,0.006656914281211788,2
