world,original_recovery,original_regret,original_prediction_mae,original_prediction_n,complete_recovery,complete_regret,complete_prediction_mae,complete_prediction_n
W2-87-world-01,0.5,0.5244084106780279,0.03725132554987795,1,1,0.046146743482814716,0.005313121083680774,2
W2-87-world-02,0.5,0.5,0.08655251878034324,1,1,0.31930317070405617,0.004693726654537019,2
W2-87-world-03,0.5,0.002433137199607458,0.03248982610591338,2,1,0.04136497933869604,0.008645308981457494,2
W2-87-world-04,0,0.014447976373344476,0.049531825223425405,2,0.5,0.5,0.004275350816827265,1
W2-87-world-05,0,0.005107729144412044,0.036160649348364673,2,1,0.23178406664352674,0.006424129028769676,2
W2-87-world-06,0,0.0,0.037916586281382475,2,0.5,0.5148769514689606,0.005829571442340972,1
W2-87-world-07,0,0.012861123585386965,0.022753359345020728,2,1,0.014832195212770292,0.005397279067244381,2
W2-87-world-08,0,0.0390948264382371,0.08445014530435584,2,1,0.21185336530895374,0.006831885022505594,2
W2-87-world-09,0,0.3708473013893629,0.05727746019139886,2,0.5,0.5246356207340075,0.00621429699826985,1
W2-87-world-10,0,0.03978327977818964,0.03634798768132314,2,1,0.021490094800461372,0.006219813087185324,2
