provider,task_id,comparison_arm,left_arm,right_arm,world_seed,difference
WellAU/Codex,electrochemical-conversion,aligned_nominal,aligned_nominal,opaque,0,0.16273081545551138
WellAU/Codex,electrochemical-conversion,aligned_nominal,aligned_nominal,opaque,1,0.21011446495542596
WellAU/Codex,electrochemical-conversion,aligned_nominal,aligned_nominal,opaque,2,0.053433783504575394
WellAU/Codex,electrochemical-conversion,aligned_nominal,aligned_nominal,opaque,3,0.3782699680221081
WellAU/Codex,electrochemical-conversion,aligned_nominal,aligned_nominal,opaque,4,0.24940597080674004
WellAU/Codex,electrochemical-conversion,misindexed_nominal,misindexed_nominal,opaque,0,0.05904713387441457
WellAU/Codex,electrochemical-conversion,misindexed_nominal,misindexed_nominal,opaque,1,0.04387268456986204
WellAU/Codex,electrochemical-conversion,misindexed_nominal,misindexed_nominal,opaque,2,0.0
WellAU/Codex,electrochemical-conversion,misindexed_nominal,misindexed_nominal,opaque,3,0.060263372998017706
WellAU/Codex,electrochemical-conversion,misindexed_nominal,misindexed_nominal,opaque,4,0.07231929529652242
WellAU/Codex,reaction-to-crystallization,aligned_nominal,aligned_nominal,opaque,0,0.0030386157578203843
WellAU/Codex,reaction-to-crystallization,aligned_nominal,aligned_nominal,opaque,1,0.08232479466436698
WellAU/Codex,reaction-to-crystallization,aligned_nominal,aligned_nominal,opaque,2,0.07193699108910434
WellAU/Codex,reaction-to-crystallization,aligned_nominal,aligned_nominal,opaque,3,0.0667950141285707
WellAU/Codex,reaction-to-crystallization,aligned_nominal,aligned_nominal,opaque,4,0.061136248996122355
WellAU/Codex,reaction-to-crystallization,misindexed_nominal,misindexed_nominal,opaque,0,0.06237861705090941
WellAU/Codex,reaction-to-crystallization,misindexed_nominal,misindexed_nominal,opaque,1,-0.021582622745315583
WellAU/Codex,reaction-to-crystallization,misindexed_nominal,misindexed_nominal,opaque,2,0.022299593492673242
WellAU/Codex,reaction-to-crystallization,misindexed_nominal,misindexed_nominal,opaque,3,-0.15134114127865816
WellAU/Codex,reaction-to-crystallization,misindexed_nominal,misindexed_nominal,opaque,4,0.06097045653395344
WellAU/Codex,reaction-to-distillation,aligned_nominal,aligned_nominal,opaque,0,-0.0208703950962168
WellAU/Codex,reaction-to-distillation,aligned_nominal,aligned_nominal,opaque,1,-0.20353085842460725
WellAU/Codex,reaction-to-distillation,aligned_nominal,aligned_nominal,opaque,2,0.011653854791390306
WellAU/Codex,reaction-to-distillation,aligned_nominal,aligned_nominal,opaque,3,0.06715380644923155
WellAU/Codex,reaction-to-distillation,misindexed_nominal,misindexed_nominal,opaque,0,-0.028840073452361448
WellAU/Codex,reaction-to-distillation,misindexed_nominal,misindexed_nominal,opaque,1,-0.018372874109503945
WellAU/Codex,reaction-to-distillation,misindexed_nominal,misindexed_nominal,opaque,2,0.057066772338995264
WellAU/Codex,reaction-to-distillation,misindexed_nominal,misindexed_nominal,opaque,3,0.08805626832333377
WellAU/Codex,reaction-to-distillation,misindexed_nominal,misindexed_nominal,opaque,4,0.01833327267517243
DeepSeek recovery,electrochemical-conversion,aligned_nominal,aligned_nominal,opaque,0,-0.04425941315245846
DeepSeek recovery,electrochemical-conversion,aligned_nominal,aligned_nominal,opaque,1,0.10311683144190564
DeepSeek recovery,electrochemical-conversion,aligned_nominal,aligned_nominal,opaque,2,-0.05516603334604475
DeepSeek recovery,electrochemical-conversion,aligned_nominal,aligned_nominal,opaque,3,-0.036243600915796315
DeepSeek recovery,electrochemical-conversion,aligned_nominal,aligned_nominal,opaque,4,0.42484487113959823
DeepSeek recovery,electrochemical-conversion,misindexed_nominal,misindexed_nominal,opaque,0,-0.04892056155321162
DeepSeek recovery,electrochemical-conversion,misindexed_nominal,misindexed_nominal,opaque,1,0.05531131027523728
DeepSeek recovery,electrochemical-conversion,misindexed_nominal,misindexed_nominal,opaque,2,-0.001421887261874255
DeepSeek recovery,electrochemical-conversion,misindexed_nominal,misindexed_nominal,opaque,3,0.1316122562401968
DeepSeek recovery,electrochemical-conversion,misindexed_nominal,misindexed_nominal,opaque,4,0.32102712045307213
DeepSeek recovery,reaction-to-crystallization,aligned_nominal,aligned_nominal,opaque,0,0.032462512370238894
DeepSeek recovery,reaction-to-crystallization,aligned_nominal,aligned_nominal,opaque,1,0.12220779953881628
DeepSeek recovery,reaction-to-crystallization,aligned_nominal,aligned_nominal,opaque,2,0.013751441388057839
DeepSeek recovery,reaction-to-crystallization,aligned_nominal,aligned_nominal,opaque,3,0.000612086662159228
DeepSeek recovery,reaction-to-crystallization,aligned_nominal,aligned_nominal,opaque,4,-0.016375220008486957
DeepSeek recovery,reaction-to-crystallization,misindexed_nominal,misindexed_nominal,opaque,0,0.02724410940840133
DeepSeek recovery,reaction-to-crystallization,misindexed_nominal,misindexed_nominal,opaque,1,0.1838110804394889
DeepSeek recovery,reaction-to-crystallization,misindexed_nominal,misindexed_nominal,opaque,2,-0.0005644032457781112
DeepSeek recovery,reaction-to-crystallization,misindexed_nominal,misindexed_nominal,opaque,4,0.06553133520156423
DeepSeek recovery,reaction-to-distillation,aligned_nominal,aligned_nominal,opaque,0,0.03689729542758807
DeepSeek recovery,reaction-to-distillation,aligned_nominal,aligned_nominal,opaque,1,0.026154580730515686
DeepSeek recovery,reaction-to-distillation,aligned_nominal,aligned_nominal,opaque,2,0.04913605014592953
DeepSeek recovery,reaction-to-distillation,aligned_nominal,aligned_nominal,opaque,3,0.04686160346489887
DeepSeek recovery,reaction-to-distillation,aligned_nominal,aligned_nominal,opaque,4,0.02800550867384244
DeepSeek recovery,reaction-to-distillation,misindexed_nominal,misindexed_nominal,opaque,0,0.1467658695177615
DeepSeek recovery,reaction-to-distillation,misindexed_nominal,misindexed_nominal,opaque,1,0.06125166517093594
DeepSeek recovery,reaction-to-distillation,misindexed_nominal,misindexed_nominal,opaque,2,0.11924999085357946
DeepSeek recovery,reaction-to-distillation,misindexed_nominal,misindexed_nominal,opaque,3,0.11405272185868126
DeepSeek recovery,reaction-to-distillation,misindexed_nominal,misindexed_nominal,opaque,4,0.09878805821167425
