provider,task_id,arm,flag_count,denominator,flag_rate
WellAU/Codex,electrochemical-conversion,opaque,0,5,0.0
WellAU/Codex,electrochemical-conversion,aligned_nominal,1,5,0.2
WellAU/Codex,electrochemical-conversion,misindexed_nominal,2,5,0.4
WellAU/Codex,reaction-to-crystallization,opaque,0,5,0.0
WellAU/Codex,reaction-to-crystallization,aligned_nominal,4,5,0.8
WellAU/Codex,reaction-to-crystallization,misindexed_nominal,2,5,0.4
WellAU/Codex,reaction-to-distillation,opaque,0,5,0.0
WellAU/Codex,reaction-to-distillation,aligned_nominal,3,4,0.75
WellAU/Codex,reaction-to-distillation,misindexed_nominal,4,5,0.8
DeepSeek recovery,electrochemical-conversion,opaque,0,5,0.0
DeepSeek recovery,electrochemical-conversion,aligned_nominal,5,5,1.0
DeepSeek recovery,electrochemical-conversion,misindexed_nominal,3,5,0.6
DeepSeek recovery,reaction-to-crystallization,opaque,0,4,0.0
DeepSeek recovery,reaction-to-crystallization,aligned_nominal,5,5,1.0
DeepSeek recovery,reaction-to-crystallization,misindexed_nominal,4,4,1.0
DeepSeek recovery,reaction-to-distillation,opaque,0,5,0.0
DeepSeek recovery,reaction-to-distillation,aligned_nominal,5,5,1.0
DeepSeek recovery,reaction-to-distillation,misindexed_nominal,5,5,1.0
