cell_id,task_id,world_seed,prior_arm,blind_recommendation_gain
deepseek-development--electrochemical-conversion--seed-0--opaque,electrochemical-conversion,0,opaque,0.0
deepseek-development--electrochemical-conversion--seed-0--aligned_nominal,electrochemical-conversion,0,aligned_nominal,0.0
deepseek-development--electrochemical-conversion--seed-0--misindexed_nominal,electrochemical-conversion,0,misindexed_nominal,0.0
deepseek-development--electrochemical-conversion--seed-1--opaque,electrochemical-conversion,1,opaque,0.0
deepseek-development--electrochemical-conversion--seed-1--aligned_nominal,electrochemical-conversion,1,aligned_nominal,0.0
deepseek-development--electrochemical-conversion--seed-1--misindexed_nominal,electrochemical-conversion,1,misindexed_nominal,0.0
deepseek-development--electrochemical-conversion--seed-2--opaque,electrochemical-conversion,2,opaque,0.0
deepseek-development--electrochemical-conversion--seed-2--aligned_nominal,electrochemical-conversion,2,aligned_nominal,0.0
deepseek-development--electrochemical-conversion--seed-2--misindexed_nominal,electrochemical-conversion,2,misindexed_nominal,0.0
deepseek-development--electrochemical-conversion--seed-3--opaque,electrochemical-conversion,3,opaque,0.0
deepseek-development--electrochemical-conversion--seed-3--aligned_nominal,electrochemical-conversion,3,aligned_nominal,0.0
deepseek-development--electrochemical-conversion--seed-3--misindexed_nominal,electrochemical-conversion,3,misindexed_nominal,0.0
deepseek-development--electrochemical-conversion--seed-4--opaque,electrochemical-conversion,4,opaque,0.0
deepseek-development--electrochemical-conversion--seed-4--aligned_nominal,electrochemical-conversion,4,aligned_nominal,0.0
deepseek-development--electrochemical-conversion--seed-4--misindexed_nominal,electrochemical-conversion,4,misindexed_nominal,0.0
deepseek-development--partition-discovery--seed-0--opaque,partition-discovery,0,opaque,-0.07958351316848927
deepseek-development--partition-discovery--seed-0--aligned_nominal,partition-discovery,0,aligned_nominal,-0.14745165344260183
deepseek-development--partition-discovery--seed-1--opaque,partition-discovery,1,opaque,0.0
deepseek-development--partition-discovery--seed-1--aligned_nominal,partition-discovery,1,aligned_nominal,0.0
deepseek-development--partition-discovery--seed-1--misindexed_nominal,partition-discovery,1,misindexed_nominal,0.0
deepseek-development--partition-discovery--seed-2--opaque,partition-discovery,2,opaque,0.0
deepseek-development--partition-discovery--seed-2--aligned_nominal,partition-discovery,2,aligned_nominal,0.0
deepseek-development--partition-discovery--seed-2--misindexed_nominal,partition-discovery,2,misindexed_nominal,0.0
deepseek-development--partition-discovery--seed-3--opaque,partition-discovery,3,opaque,0.0
deepseek-development--partition-discovery--seed-3--misindexed_nominal,partition-discovery,3,misindexed_nominal,0.0
deepseek-development--partition-discovery--seed-4--aligned_nominal,partition-discovery,4,aligned_nominal,-0.048146328264927346
deepseek-development--partition-discovery--seed-4--misindexed_nominal,partition-discovery,4,misindexed_nominal,0.0
deepseek-development--reaction-safety-constrained--seed-0--opaque,reaction-safety-constrained,0,opaque,0.0
deepseek-development--reaction-safety-constrained--seed-0--misindexed_nominal,reaction-safety-constrained,0,misindexed_nominal,0.0
deepseek-development--reaction-safety-constrained--seed-1--opaque,reaction-safety-constrained,1,opaque,0.0
deepseek-development--reaction-safety-constrained--seed-1--aligned_nominal,reaction-safety-constrained,1,aligned_nominal,0.0
deepseek-development--reaction-safety-constrained--seed-1--misindexed_nominal,reaction-safety-constrained,1,misindexed_nominal,0.0
deepseek-development--reaction-safety-constrained--seed-2--opaque,reaction-safety-constrained,2,opaque,0.0
deepseek-development--reaction-safety-constrained--seed-2--aligned_nominal,reaction-safety-constrained,2,aligned_nominal,0.0
deepseek-development--reaction-safety-constrained--seed-2--misindexed_nominal,reaction-safety-constrained,2,misindexed_nominal,0.0
deepseek-development--reaction-safety-constrained--seed-3--opaque,reaction-safety-constrained,3,opaque,0.0
deepseek-development--reaction-safety-constrained--seed-3--aligned_nominal,reaction-safety-constrained,3,aligned_nominal,0.0
deepseek-development--reaction-safety-constrained--seed-3--misindexed_nominal,reaction-safety-constrained,3,misindexed_nominal,0.0
deepseek-development--reaction-safety-constrained--seed-4--opaque,reaction-safety-constrained,4,opaque,0.0
deepseek-development--reaction-safety-constrained--seed-4--aligned_nominal,reaction-safety-constrained,4,aligned_nominal,0.0
deepseek-development--reaction-safety-constrained--seed-4--misindexed_nominal,reaction-safety-constrained,4,misindexed_nominal,0.0
deepseek-development--reaction-to-crystallization--seed-0--opaque,reaction-to-crystallization,0,opaque,0.0
deepseek-development--reaction-to-crystallization--seed-0--aligned_nominal,reaction-to-crystallization,0,aligned_nominal,0.0
deepseek-development--reaction-to-crystallization--seed-0--misindexed_nominal,reaction-to-crystallization,0,misindexed_nominal,0.0
deepseek-development--reaction-to-crystallization--seed-1--opaque,reaction-to-crystallization,1,opaque,0.0
deepseek-development--reaction-to-crystallization--seed-1--aligned_nominal,reaction-to-crystallization,1,aligned_nominal,0.0
deepseek-development--reaction-to-crystallization--seed-1--misindexed_nominal,reaction-to-crystallization,1,misindexed_nominal,0.0
deepseek-development--reaction-to-crystallization--seed-2--opaque,reaction-to-crystallization,2,opaque,0.0
deepseek-development--reaction-to-crystallization--seed-2--aligned_nominal,reaction-to-crystallization,2,aligned_nominal,0.0
deepseek-development--reaction-to-crystallization--seed-2--misindexed_nominal,reaction-to-crystallization,2,misindexed_nominal,0.0
