cell_id,task_id,world_seed,prior_arm,participant_state,law_summary_minus_final_error
deepseek-development--electrochemical-conversion--seed-0--opaque,electrochemical-conversion,0,opaque,completed,0.359932446273168
deepseek-development--electrochemical-conversion--seed-0--aligned_nominal,electrochemical-conversion,0,aligned_nominal,completed,0.1849333333333333
deepseek-development--electrochemical-conversion--seed-0--misindexed_nominal,electrochemical-conversion,0,misindexed_nominal,completed,0.6644342203934988
deepseek-development--electrochemical-conversion--seed-1--opaque,electrochemical-conversion,1,opaque,completed,-5.938361446067297e-05
deepseek-development--electrochemical-conversion--seed-1--aligned_nominal,electrochemical-conversion,1,aligned_nominal,completed,0.1431429130472145
deepseek-development--electrochemical-conversion--seed-1--misindexed_nominal,electrochemical-conversion,1,misindexed_nominal,completed,0.4800664224975731
deepseek-development--electrochemical-conversion--seed-2--opaque,electrochemical-conversion,2,opaque,completed,-0.08877519424110651
deepseek-development--electrochemical-conversion--seed-2--aligned_nominal,electrochemical-conversion,2,aligned_nominal,completed,0.6121133233209451
deepseek-development--electrochemical-conversion--seed-2--misindexed_nominal,electrochemical-conversion,2,misindexed_nominal,completed,0.14325798909177107
deepseek-development--electrochemical-conversion--seed-3--opaque,electrochemical-conversion,3,opaque,completed,0.0417107352813085
deepseek-development--electrochemical-conversion--seed-3--aligned_nominal,electrochemical-conversion,3,aligned_nominal,completed,0.04773289935126028
deepseek-development--electrochemical-conversion--seed-3--misindexed_nominal,electrochemical-conversion,3,misindexed_nominal,completed,-0.09660970228612425
deepseek-development--electrochemical-conversion--seed-4--opaque,electrochemical-conversion,4,opaque,completed,-0.0044325142105420545
deepseek-development--electrochemical-conversion--seed-4--aligned_nominal,electrochemical-conversion,4,aligned_nominal,completed,0.1251150794699788
deepseek-development--electrochemical-conversion--seed-4--misindexed_nominal,electrochemical-conversion,4,misindexed_nominal,completed,0.6466666661207814
deepseek-development--partition-discovery--seed-0--opaque,partition-discovery,0,opaque,completed,-0.02629922587797045
deepseek-development--partition-discovery--seed-0--aligned_nominal,partition-discovery,0,aligned_nominal,completed,0.15611967222396556
deepseek-development--partition-discovery--seed-0--misindexed_nominal,partition-discovery,0,misindexed_nominal,failed,-0.067383913119634
deepseek-development--partition-discovery--seed-1--opaque,partition-discovery,1,opaque,completed,-0.0019351940397195483
deepseek-development--partition-discovery--seed-1--aligned_nominal,partition-discovery,1,aligned_nominal,completed,-0.0004166666666666763
deepseek-development--partition-discovery--seed-1--misindexed_nominal,partition-discovery,1,misindexed_nominal,completed,-0.05853162740858964
deepseek-development--partition-discovery--seed-2--opaque,partition-discovery,2,opaque,completed,0.0034167764162023884
deepseek-development--partition-discovery--seed-2--aligned_nominal,partition-discovery,2,aligned_nominal,completed,0.13829854759863466
deepseek-development--partition-discovery--seed-2--misindexed_nominal,partition-discovery,2,misindexed_nominal,completed,0.028385640613092247
deepseek-development--partition-discovery--seed-3--opaque,partition-discovery,3,opaque,completed,-0.09645376599368599
