world_seed,arm,pre_error,post_error
110564668,opaque,0.18343862509134537,0.007847693878381207
110564668,aligned_nominal,0.35479632868173844,0.007778945892583581
110564668,misindexed_nominal,0.35504628030660873,0.010403891175519675
241120479,opaque,0.32438498505934454,0.010722859036953499
241120479,aligned_nominal,0.20738782839958245,0.006786367545370012
241120479,misindexed_nominal,0.3122599850593445,0.008545267432772867
527268922,opaque,0.24495133369945687,0.007016390778454162
527268922,aligned_nominal,0.34053466703279023,0.004385844042357834
527268922,misindexed_nominal,0.29661800036612357,0.005252874710616486
650846081,opaque,0.17924164410463223,0.006305589679628604
650846081,aligned_nominal,0.2142208107712989,0.00568565634855379
650846081,misindexed_nominal,0.27702497743796556,0.006300090113965169
946166808,opaque,0.1954860612383345,0.005326315583622393
946166808,aligned_nominal,0.2510791554282963,0.0054370879946509425
946166808,misindexed_nominal,0.45516665542829626,0.005001315583622393
