task,cluster_id,condition,mean_failure_aware_regret,completed,scheduled
electrochemical-conversion,electrochemical-conversion--w01,none,0.3412511795759201,4,4
electrochemical-conversion,electrochemical-conversion--w02,none,0.247558131814003,4,4
electrochemical-conversion,electrochemical-conversion--w03,none,0.258600577712059,4,4
electrochemical-conversion,electrochemical-conversion--w04,none,0.28166429605334997,4,4
electrochemical-conversion,electrochemical-conversion--w05,none,0.2582896868698299,4,4
electrochemical-conversion,electrochemical-conversion--w01,raw,0.005786627531051636,4,4
electrochemical-conversion,electrochemical-conversion--w02,raw,0.0050649940967559814,4,4
electrochemical-conversion,electrochemical-conversion--w03,raw,0.08716881833970547,4,4
electrochemical-conversion,electrochemical-conversion--w04,raw,0.005261898040771484,4,4
electrochemical-conversion,electrochemical-conversion--w05,raw,0.009091302752494812,4,4
electrochemical-conversion,electrochemical-conversion--w01,L,0.011573255062103271,4,4
electrochemical-conversion,electrochemical-conversion--w02,L,0.022444330155849457,4,4
electrochemical-conversion,electrochemical-conversion--w03,L,0.02112819254398346,4,4
electrochemical-conversion,electrochemical-conversion--w04,L,0.017169423401355743,4,4
electrochemical-conversion,electrochemical-conversion--w05,L,0.018182605504989624,4,4
electrochemical-conversion,electrochemical-conversion--w01,F,0.011573255062103271,4,4
electrochemical-conversion,electrochemical-conversion--w02,F,0.010129988193511963,4,4
electrochemical-conversion,electrochemical-conversion--w03,F,0.015764296054840088,4,4
electrochemical-conversion,electrochemical-conversion--w04,F,0.005261898040771484,4,4
electrochemical-conversion,electrochemical-conversion--w05,F,0.10316390171647072,4,4
reaction-to-crystallization,reaction-to-crystallization--w01,none,0.012916117906570435,4,4
reaction-to-crystallization,reaction-to-crystallization--w02,none,0.009888514876365662,4,4
reaction-to-crystallization,reaction-to-crystallization--w03,none,0.014384880661964417,4,4
reaction-to-crystallization,reaction-to-crystallization--w04,none,0.0379304438829422,4,4
reaction-to-crystallization,reaction-to-crystallization--w05,none,0.010211840271949768,4,4
reaction-to-crystallization,reaction-to-crystallization--w01,raw,0.0,4,4
reaction-to-crystallization,reaction-to-crystallization--w02,raw,0.0,4,4
reaction-to-crystallization,reaction-to-crystallization--w03,raw,0.0,4,4
reaction-to-crystallization,reaction-to-crystallization--w04,raw,0.0,4,4
reaction-to-crystallization,reaction-to-crystallization--w05,raw,0.0,4,4
reaction-to-crystallization,reaction-to-crystallization--w01,L,0.0,4,4
reaction-to-crystallization,reaction-to-crystallization--w02,L,0.009888514876365662,4,4
reaction-to-crystallization,reaction-to-crystallization--w03,L,0.0,4,4
reaction-to-crystallization,reaction-to-crystallization--w04,L,0.0,4,4
reaction-to-crystallization,reaction-to-crystallization--w05,L,0.0,4,4
reaction-to-crystallization,reaction-to-crystallization--w01,F,0.0,4,4
reaction-to-crystallization,reaction-to-crystallization--w02,F,0.0,4,4
reaction-to-crystallization,reaction-to-crystallization--w03,F,0.0,4,4
reaction-to-crystallization,reaction-to-crystallization--w04,F,0.0,4,4
reaction-to-crystallization,reaction-to-crystallization--w05,F,0.0,4,4
