world,budget,arm,both_conforming,recovery_delta,purity_delta
C-W01,12,Aligned,True,-0.03886693228648193,0.08475587319393234
C-W01,12,MisIndexed,True,-0.028033598953148595,0.0905892065272657
C-W02,12,Aligned,False,-0.3411500891543576,0.02083333333333333
C-W02,12,MisIndexed,False,-0.20481189391528368,0.02833333333333333
C-W03,12,Aligned,True,-0.020689524456223907,0.027854559418325184
C-W03,12,MisIndexed,True,-0.006850820407173594,0.0811878927516585
C-W04,12,Aligned,True,-0.07925409433519898,0.06271398855149966
C-W04,12,MisIndexed,True,-0.0749251211074077,0.09979732188483302
C-W05,12,Aligned,True,-0.03336186913785791,0.004723800237675028
C-W05,12,MisIndexed,True,-0.055306714956065026,0.11082067920997421
