regime,arm,world,macro_mae,mean_across_worlds,sample_sd_across_worlds,n_worlds
Other nine,Opaque,W01,0.00531345372464922,0.010076250577326171,0.00362481300604743,5
Other nine,Opaque,W02,0.010608133090866933,0.010076250577326171,0.00362481300604743,5
Other nine,Opaque,W03,0.009912557793988119,0.010076250577326171,0.00362481300604743,5
Other nine,Opaque,W04,0.015428460099078986,0.010076250577326171,0.00362481300604743,5
Other nine,Opaque,W05,0.009118648178047604,0.010076250577326171,0.00362481300604743,5
Other nine,Aligned,W01,0.005020807531144887,0.004647301928643827,0.0005478413746088586,5
Other nine,Aligned,W02,0.0052661536137262955,0.004647301928643827,0.0005478413746088586,5
Other nine,Aligned,W03,0.004477736726955133,0.004647301928643827,0.0005478413746088586,5
Other nine,Aligned,W04,0.0046301082942220885,0.004647301928643827,0.0005478413746088586,5
Other nine,Aligned,W05,0.0038417034771707323,0.004647301928643827,0.0005478413746088586,5
Other nine,MisIndexed,W01,0.005575004496645049,0.004389850205011723,0.001691187620758383,5
Other nine,MisIndexed,W02,0.006165343543335241,0.004389850205011723,0.001691187620758383,5
Other nine,MisIndexed,W03,0.001791649507151712,0.004389850205011723,0.001691187620758383,5
Other nine,MisIndexed,W04,0.004391880974063169,0.004389850205011723,0.001691187620758383,5
Other nine,MisIndexed,W05,0.004025372503863443,0.004389850205011723,0.001691187620758383,5
Dilute three,Opaque,W01,0.03930883812490437,0.01833210026545114,0.011878873567031479,5
Dilute three,Opaque,W02,0.014175564917218355,0.01833210026545114,0.011878873567031479,5
Dilute three,Opaque,W03,0.011932235773368228,0.01833210026545114,0.011878873567031479,5
Dilute three,Opaque,W04,0.010684694723743535,0.01833210026545114,0.011878873567031479,5
Dilute three,Opaque,W05,0.01555916778802121,0.01833210026545114,0.011878873567031479,5
Dilute three,Aligned,W01,0.18953106034712658,0.15862426151816292,0.026138430869800902,5
Dilute three,Aligned,W02,0.18268312076988322,0.15862426151816292,0.026138430869800902,5
Dilute three,Aligned,W03,0.1495589213874967,0.15862426151816292,0.026138430869800902,5
Dilute three,Aligned,W04,0.14129599570081466,0.15862426151816292,0.026138430869800902,5
Dilute three,Aligned,W05,0.1300522093854935,0.15862426151816292,0.026138430869800902,5
Dilute three,MisIndexed,W01,0.18958350479157102,0.14396808374038517,0.04838048063885785,5
Dilute three,MisIndexed,W02,0.18820534299210542,0.14396808374038517,0.04838048063885785,5
Dilute three,MisIndexed,W03,0.07278114360971893,0.14396808374038517,0.04838048063885785,5
Dilute three,MisIndexed,W04,0.14108488458970356,0.14396808374038517,0.04838048063885785,5
Dilute three,MisIndexed,W05,0.12818554271882684,0.14396808374038517,0.04838048063885785,5
