task_id,arm,world_seed,status,complete_experiment_count,mcp_tool_failure_count,provider_error_event_count,resource_rejection_count
electrochemical-conversion,opaque,0,completed,4,1,0,0
electrochemical-conversion,aligned_nominal,0,completed,4,0,0,0
electrochemical-conversion,misindexed_nominal,0,completed,4,2,0,0
electrochemical-conversion,opaque,1,completed,4,1,0,0
electrochemical-conversion,aligned_nominal,1,completed,4,2,0,0
electrochemical-conversion,misindexed_nominal,1,completed,4,0,0,0
electrochemical-conversion,opaque,2,completed,4,0,0,0
electrochemical-conversion,aligned_nominal,2,completed,4,0,0,0
electrochemical-conversion,misindexed_nominal,2,completed,4,1,0,0
electrochemical-conversion,opaque,3,completed,4,1,0,0
electrochemical-conversion,aligned_nominal,3,completed,4,0,0,0
electrochemical-conversion,misindexed_nominal,3,completed,4,1,0,0
electrochemical-conversion,opaque,4,completed,4,2,0,0
electrochemical-conversion,aligned_nominal,4,completed,4,1,0,0
electrochemical-conversion,misindexed_nominal,4,completed,4,1,0,0
reaction-to-crystallization,opaque,0,completed,4,3,0,0
reaction-to-crystallization,aligned_nominal,0,completed,4,1,0,0
reaction-to-crystallization,misindexed_nominal,0,completed,4,0,0,0
reaction-to-crystallization,opaque,1,completed,4,3,0,0
reaction-to-crystallization,aligned_nominal,1,completed,4,0,0,0
reaction-to-crystallization,misindexed_nominal,1,completed,4,1,0,0
reaction-to-crystallization,opaque,2,completed,4,1,0,0
reaction-to-crystallization,aligned_nominal,2,completed,4,0,0,0
reaction-to-crystallization,misindexed_nominal,2,completed,4,0,0,0
reaction-to-crystallization,opaque,3,completed,4,0,0,0
reaction-to-crystallization,aligned_nominal,3,completed,4,1,0,0
reaction-to-crystallization,misindexed_nominal,3,failed,0,3,0,0
reaction-to-crystallization,opaque,4,failed,2,4,0,0
reaction-to-crystallization,aligned_nominal,4,completed,4,1,0,0
reaction-to-crystallization,misindexed_nominal,4,completed,4,0,0,0
reaction-to-distillation,opaque,0,completed,4,1,0,0
reaction-to-distillation,aligned_nominal,0,completed,4,2,0,0
reaction-to-distillation,misindexed_nominal,0,completed,4,0,0,0
reaction-to-distillation,opaque,1,completed,4,1,0,0
reaction-to-distillation,aligned_nominal,1,completed,4,0,0,0
reaction-to-distillation,misindexed_nominal,1,completed,4,1,0,0
reaction-to-distillation,opaque,2,completed,4,0,0,0
reaction-to-distillation,aligned_nominal,2,completed,4,0,0,0
reaction-to-distillation,misindexed_nominal,2,completed,4,0,0,0
reaction-to-distillation,opaque,3,completed,4,1,0,0
reaction-to-distillation,aligned_nominal,3,completed,4,0,0,0
reaction-to-distillation,misindexed_nominal,3,completed,4,0,0,0
reaction-to-distillation,opaque,4,completed,4,1,0,0
reaction-to-distillation,aligned_nominal,4,completed,4,0,0,0
reaction-to-distillation,misindexed_nominal,4,completed,4,0,0,0
