task_id,world_seed,difference
electrochemical-conversion,0,0.050000000000000044
electrochemical-conversion,1,0.12
electrochemical-conversion,2,-1.1102230246251565e-16
electrochemical-conversion,3,0.0
electrochemical-conversion,4,-0.050000000000000155
reaction-to-crystallization,0,0.0
reaction-to-crystallization,1,0.2799999999999999
reaction-to-crystallization,2,0.15000000000000002
reaction-to-crystallization,4,-0.45
reaction-to-distillation,0,0.1499999999999999
reaction-to-distillation,1,0.0
reaction-to-distillation,2,-0.09999999999999992
reaction-to-distillation,3,0.04999999999999993
reaction-to-distillation,4,0.050000000000000044
