provider,task_id,arm,world_seed,status,complete_experiment_count,failure_type
WellAU gpt-5.6-sol medium,electrochemical-conversion,opaque,0,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,opaque,1,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,opaque,2,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,opaque,3,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,opaque,4,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_nominal,0,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_nominal,1,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_nominal,2,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_nominal,3,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_nominal,4,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,misindexed_nominal,0,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,misindexed_nominal,1,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,misindexed_nominal,2,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,misindexed_nominal,3,completed,4,
WellAU gpt-5.6-sol medium,electrochemical-conversion,misindexed_nominal,4,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,opaque,0,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,opaque,1,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,opaque,2,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,opaque,3,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,opaque,4,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_nominal,0,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_nominal,1,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_nominal,2,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_nominal,3,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_nominal,4,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,misindexed_nominal,0,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,misindexed_nominal,1,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,misindexed_nominal,2,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,misindexed_nominal,3,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-crystallization,misindexed_nominal,4,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,opaque,0,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,opaque,1,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,opaque,2,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,opaque,3,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,opaque,4,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,aligned_nominal,0,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,aligned_nominal,1,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,aligned_nominal,2,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,aligned_nominal,3,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,aligned_nominal,4,failed,0,InteractiveCodexExperimentError
WellAU gpt-5.6-sol medium,reaction-to-distillation,misindexed_nominal,0,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,misindexed_nominal,1,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,misindexed_nominal,2,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,misindexed_nominal,3,completed,4,
WellAU gpt-5.6-sol medium,reaction-to-distillation,misindexed_nominal,4,completed,4,
