provider,task_id,contrast,left_arm,right_arm,world_seed,left_value,right_value,difference
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_minus_opaque_best_score,aligned_nominal,opaque,0,0.4899163094429297,0.3271854939874183,0.16273081545551138
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_minus_opaque_best_score,aligned_nominal,opaque,1,0.7481409602713852,0.5380264953159593,0.21011446495542596
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_minus_opaque_best_score,aligned_nominal,opaque,2,0.43876290285747827,0.38532911935290287,0.053433783504575394
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_minus_opaque_best_score,aligned_nominal,opaque,3,0.7366205875902874,0.35835061956817926,0.3782699680221081
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_minus_opaque_best_score,aligned_nominal,opaque,4,0.6966955022484507,0.44728953144171063,0.24940597080674004
WellAU gpt-5.6-sol medium,electrochemical-conversion,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,0,0.3862326278618329,0.3271854939874183,0.05904713387441457
WellAU gpt-5.6-sol medium,electrochemical-conversion,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,1,0.5818991798858213,0.5380264953159593,0.04387268456986204
WellAU gpt-5.6-sol medium,electrochemical-conversion,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,2,0.38532911935290287,0.38532911935290287,0.0
WellAU gpt-5.6-sol medium,electrochemical-conversion,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,3,0.41861399256619697,0.35835061956817926,0.060263372998017706
WellAU gpt-5.6-sol medium,electrochemical-conversion,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,4,0.519608826738233,0.44728953144171063,0.07231929529652242
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_minus_opaque_best_score,aligned_nominal,opaque,0,0.49094164445829536,0.48790302870047497,0.0030386157578203843
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_minus_opaque_best_score,aligned_nominal,opaque,1,0.5729149808958713,0.49059018623150435,0.08232479466436698
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_minus_opaque_best_score,aligned_nominal,opaque,2,0.5127801760641159,0.4408431849750115,0.07193699108910434
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_minus_opaque_best_score,aligned_nominal,opaque,3,0.4752996905230751,0.4085046763945044,0.0667950141285707
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_minus_opaque_best_score,aligned_nominal,opaque,4,0.43220287582771566,0.3710666268315933,0.061136248996122355
WellAU gpt-5.6-sol medium,reaction-to-crystallization,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,0,0.5502816457513844,0.48790302870047497,0.06237861705090941
WellAU gpt-5.6-sol medium,reaction-to-crystallization,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,1,0.46900756348618877,0.49059018623150435,-0.021582622745315583
WellAU gpt-5.6-sol medium,reaction-to-crystallization,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,2,0.46314277846768476,0.4408431849750115,0.022299593492673242
WellAU gpt-5.6-sol medium,reaction-to-crystallization,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,3,0.2571635351158462,0.4085046763945044,-0.15134114127865816
WellAU gpt-5.6-sol medium,reaction-to-crystallization,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,4,0.43203708336554675,0.3710666268315933,0.06097045653395344
WellAU gpt-5.6-sol medium,reaction-to-distillation,aligned_minus_opaque_best_score,aligned_nominal,opaque,0,0.29224879665765546,0.31311919175387226,-0.0208703950962168
WellAU gpt-5.6-sol medium,reaction-to-distillation,aligned_minus_opaque_best_score,aligned_nominal,opaque,1,0.2122845615737732,0.41581541999838045,-0.20353085842460725
WellAU gpt-5.6-sol medium,reaction-to-distillation,aligned_minus_opaque_best_score,aligned_nominal,opaque,2,0.24145209074209628,0.22979823595070598,0.011653854791390306
WellAU gpt-5.6-sol medium,reaction-to-distillation,aligned_minus_opaque_best_score,aligned_nominal,opaque,3,0.28993372350397945,0.2227799170547479,0.06715380644923155
WellAU gpt-5.6-sol medium,reaction-to-distillation,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,0,0.2842791183015108,0.31311919175387226,-0.028840073452361448
WellAU gpt-5.6-sol medium,reaction-to-distillation,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,1,0.3974425458888765,0.41581541999838045,-0.018372874109503945
WellAU gpt-5.6-sol medium,reaction-to-distillation,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,2,0.28686500828970124,0.22979823595070598,0.057066772338995264
WellAU gpt-5.6-sol medium,reaction-to-distillation,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,3,0.31083618537808166,0.2227799170547479,0.08805626832333377
WellAU gpt-5.6-sol medium,reaction-to-distillation,misindexed_minus_opaque_best_score,misindexed_nominal,opaque,4,0.24840574915254374,0.2300724764773713,0.01833327267517243
