provider,task_id,contrast,left_arm,right_arm,world_seed,left_value,right_value,difference
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,0,0.17999999999999994,0.26,-0.08000000000000007
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,1,0.08999999999999997,-0.33999999999999997,0.42999999999999994
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,2,0.09999999999999998,0.18999999999999995,-0.08999999999999997
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,3,-0.30000000000000004,-0.12,-0.18000000000000005
WellAU gpt-5.6-sol medium,electrochemical-conversion,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,4,0.13,-0.35000000000000003,0.48000000000000004
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,0,-0.27999999999999997,-0.019999999999999907,-0.26000000000000006
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,1,-0.42,-0.37,-0.04999999999999999
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,2,0.030000000000000027,-0.09999999999999998,0.13
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,3,0.07999999999999996,0.0,0.07999999999999996
WellAU gpt-5.6-sol medium,reaction-to-crystallization,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,4,-0.35,0.19999999999999996,-0.5499999999999999
WellAU gpt-5.6-sol medium,reaction-to-distillation,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,0,0.04999999999999993,-0.04999999999999993,0.09999999999999987
WellAU gpt-5.6-sol medium,reaction-to-distillation,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,1,0.09999999999999998,-0.050000000000000044,0.15000000000000002
WellAU gpt-5.6-sol medium,reaction-to-distillation,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,2,-0.09999999999999998,-0.25000000000000006,0.15000000000000008
WellAU gpt-5.6-sol medium,reaction-to-distillation,aligned_minus_misindexed_reliability_delta,aligned_nominal,misindexed_nominal,3,0.12,0.19999999999999996,-0.07999999999999996
