cell_id,locus,task_id,prior_arm,terminal_state,blind_status,scheduled_execution_count,launched_execution_count,completed_execution_count,recommendation_gain_over_incumbent
A_E_public--electrochemical-conversion--seed934334899--opaque,A_E,electrochemical-conversion,opaque,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed934334899--aligned_nominal,A_E,electrochemical-conversion,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed934334899--misindexed_nominal,A_E,electrochemical-conversion,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed222130288--opaque,A_E,electrochemical-conversion,opaque,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed222130288--aligned_nominal,A_E,electrochemical-conversion,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed222130288--misindexed_nominal,A_E,electrochemical-conversion,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed187256385--opaque,A_E,electrochemical-conversion,opaque,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed187256385--aligned_nominal,A_E,electrochemical-conversion,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed187256385--misindexed_nominal,A_E,electrochemical-conversion,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed779398037--opaque,A_E,electrochemical-conversion,opaque,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed779398037--aligned_nominal,A_E,electrochemical-conversion,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed779398037--misindexed_nominal,A_E,electrochemical-conversion,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed533253734--opaque,A_E,electrochemical-conversion,opaque,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed533253734--aligned_nominal,A_E,electrochemical-conversion,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--electrochemical-conversion--seed533253734--misindexed_nominal,A_E,electrochemical-conversion,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-crystallization--seed981471142--opaque,A_E,reaction-to-crystallization,opaque,completed,completed,6,6,6,0.0
A_E_public--reaction-to-crystallization--seed981471142--aligned_nominal,A_E,reaction-to-crystallization,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-crystallization--seed981471142--misindexed_nominal,A_E,reaction-to-crystallization,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-crystallization--seed371545319--opaque,A_E,reaction-to-crystallization,opaque,right_censored,not_launched_participant_right_censored,6,0,0,
A_E_public--reaction-to-crystallization--seed371545319--aligned_nominal,A_E,reaction-to-crystallization,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-crystallization--seed371545319--misindexed_nominal,A_E,reaction-to-crystallization,misindexed_nominal,right_censored,not_launched_participant_right_censored,6,0,0,
A_E_public--reaction-to-crystallization--seed680821974--opaque,A_E,reaction-to-crystallization,opaque,right_censored,not_launched_participant_right_censored,6,0,0,
A_E_public--reaction-to-crystallization--seed680821974--aligned_nominal,A_E,reaction-to-crystallization,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-crystallization--seed680821974--misindexed_nominal,A_E,reaction-to-crystallization,misindexed_nominal,right_censored,not_launched_participant_right_censored,6,0,0,
A_E_public--reaction-to-crystallization--seed854364962--opaque,A_E,reaction-to-crystallization,opaque,completed,completed,6,6,6,0.0
A_E_public--reaction-to-crystallization--seed854364962--aligned_nominal,A_E,reaction-to-crystallization,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-crystallization--seed854364962--misindexed_nominal,A_E,reaction-to-crystallization,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-crystallization--seed297088702--opaque,A_E,reaction-to-crystallization,opaque,completed,completed,6,6,6,0.0
A_E_public--reaction-to-crystallization--seed297088702--aligned_nominal,A_E,reaction-to-crystallization,aligned_nominal,right_censored,not_launched_participant_right_censored,6,0,0,
A_E_public--reaction-to-crystallization--seed297088702--misindexed_nominal,A_E,reaction-to-crystallization,misindexed_nominal,failed,not_launched_participant_failed,6,0,0,
A_E_public--reaction-to-distillation--seed439344905--opaque,A_E,reaction-to-distillation,opaque,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed439344905--aligned_nominal,A_E,reaction-to-distillation,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed439344905--misindexed_nominal,A_E,reaction-to-distillation,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed353545270--opaque,A_E,reaction-to-distillation,opaque,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed353545270--aligned_nominal,A_E,reaction-to-distillation,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed353545270--misindexed_nominal,A_E,reaction-to-distillation,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed305419816--opaque,A_E,reaction-to-distillation,opaque,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed305419816--aligned_nominal,A_E,reaction-to-distillation,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed305419816--misindexed_nominal,A_E,reaction-to-distillation,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed301573033--opaque,A_E,reaction-to-distillation,opaque,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed301573033--aligned_nominal,A_E,reaction-to-distillation,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed301573033--misindexed_nominal,A_E,reaction-to-distillation,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed510396964--opaque,A_E,reaction-to-distillation,opaque,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed510396964--aligned_nominal,A_E,reaction-to-distillation,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-to-distillation--seed510396964--misindexed_nominal,A_E,reaction-to-distillation,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed595257646--opaque,A_E,partition-discovery,opaque,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed595257646--aligned_nominal,A_E,partition-discovery,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed595257646--misindexed_nominal,A_E,partition-discovery,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed913561854--opaque,A_E,partition-discovery,opaque,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed913561854--aligned_nominal,A_E,partition-discovery,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed913561854--misindexed_nominal,A_E,partition-discovery,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed392161417--opaque,A_E,partition-discovery,opaque,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed392161417--aligned_nominal,A_E,partition-discovery,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed392161417--misindexed_nominal,A_E,partition-discovery,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed114255949--opaque,A_E,partition-discovery,opaque,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed114255949--aligned_nominal,A_E,partition-discovery,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed114255949--misindexed_nominal,A_E,partition-discovery,misindexed_nominal,failed,not_launched_participant_failed,6,0,0,
A_E_public--partition-discovery--seed308641243--opaque,A_E,partition-discovery,opaque,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed308641243--aligned_nominal,A_E,partition-discovery,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--partition-discovery--seed308641243--misindexed_nominal,A_E,partition-discovery,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed581283898--opaque,A_E,reaction-safety-constrained,opaque,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed581283898--aligned_nominal,A_E,reaction-safety-constrained,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed581283898--misindexed_nominal,A_E,reaction-safety-constrained,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed413319517--opaque,A_E,reaction-safety-constrained,opaque,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed413319517--aligned_nominal,A_E,reaction-safety-constrained,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed413319517--misindexed_nominal,A_E,reaction-safety-constrained,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed311564803--opaque,A_E,reaction-safety-constrained,opaque,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed311564803--aligned_nominal,A_E,reaction-safety-constrained,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed311564803--misindexed_nominal,A_E,reaction-safety-constrained,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed267586659--opaque,A_E,reaction-safety-constrained,opaque,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed267586659--aligned_nominal,A_E,reaction-safety-constrained,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed267586659--misindexed_nominal,A_E,reaction-safety-constrained,misindexed_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed854968543--opaque,A_E,reaction-safety-constrained,opaque,completed,completed,6,6,6,0.0012478641749265652
A_E_public--reaction-safety-constrained--seed854968543--aligned_nominal,A_E,reaction-safety-constrained,aligned_nominal,completed,completed,6,6,6,0.0
A_E_public--reaction-safety-constrained--seed854968543--misindexed_nominal,A_E,reaction-safety-constrained,misindexed_nominal,completed,completed,6,6,6,0.0
A_P--electrochemical-conversion--seed973419928--opaque,A_P,electrochemical-conversion,opaque,right_censored,not_launched_participant_right_censored,6,0,0,
A_P--electrochemical-conversion--seed973419928--aligned_nominal,A_P,electrochemical-conversion,aligned_nominal,completed,completed,6,6,6,0.0
A_P--electrochemical-conversion--seed973419928--misindexed_nominal,A_P,electrochemical-conversion,misindexed_nominal,completed,completed,6,6,6,0.0
A_P--electrochemical-conversion--seed205061234--opaque,A_P,electrochemical-conversion,opaque,failed,not_launched_participant_failed,6,0,0,
A_P--electrochemical-conversion--seed205061234--aligned_nominal,A_P,electrochemical-conversion,aligned_nominal,completed,completed,6,6,6,0.0
A_P--electrochemical-conversion--seed205061234--misindexed_nominal,A_P,electrochemical-conversion,misindexed_nominal,completed,completed,6,6,6,0.0
A_P--electrochemical-conversion--seed141388883--opaque,A_P,electrochemical-conversion,opaque,failed,not_launched_participant_failed,6,0,0,
A_P--electrochemical-conversion--seed141388883--aligned_nominal,A_P,electrochemical-conversion,aligned_nominal,completed,completed,6,6,6,0.0
A_P--electrochemical-conversion--seed141388883--misindexed_nominal,A_P,electrochemical-conversion,misindexed_nominal,completed,completed,6,6,6,0.0
A_P--electrochemical-conversion--seed594927609--opaque,A_P,electrochemical-conversion,opaque,completed,completed,6,6,6,0.0
A_P--electrochemical-conversion--seed594927609--aligned_nominal,A_P,electrochemical-conversion,aligned_nominal,completed,completed,6,6,6,0.0
A_P--electrochemical-conversion--seed594927609--misindexed_nominal,A_P,electrochemical-conversion,misindexed_nominal,completed,completed,6,6,6,0.0
A_P--electrochemical-conversion--seed869796364--opaque,A_P,electrochemical-conversion,opaque,failed,not_launched_participant_failed,6,0,0,
A_P--electrochemical-conversion--seed869796364--aligned_nominal,A_P,electrochemical-conversion,aligned_nominal,completed,completed,6,6,6,0.0
A_P--electrochemical-conversion--seed869796364--misindexed_nominal,A_P,electrochemical-conversion,misindexed_nominal,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed829726730--opaque,A_P,reaction-safety-constrained,opaque,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed829726730--aligned_nominal,A_P,reaction-safety-constrained,aligned_nominal,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed829726730--misindexed_nominal,A_P,reaction-safety-constrained,misindexed_nominal,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed145076830--opaque,A_P,reaction-safety-constrained,opaque,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed145076830--aligned_nominal,A_P,reaction-safety-constrained,aligned_nominal,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed145076830--misindexed_nominal,A_P,reaction-safety-constrained,misindexed_nominal,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed624715740--opaque,A_P,reaction-safety-constrained,opaque,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed624715740--aligned_nominal,A_P,reaction-safety-constrained,aligned_nominal,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed624715740--misindexed_nominal,A_P,reaction-safety-constrained,misindexed_nominal,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed210420473--opaque,A_P,reaction-safety-constrained,opaque,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed210420473--aligned_nominal,A_P,reaction-safety-constrained,aligned_nominal,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed210420473--misindexed_nominal,A_P,reaction-safety-constrained,misindexed_nominal,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed958385461--opaque,A_P,reaction-safety-constrained,opaque,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed958385461--aligned_nominal,A_P,reaction-safety-constrained,aligned_nominal,completed,completed,6,6,6,0.0
A_P--reaction-safety-constrained--seed958385461--misindexed_nominal,A_P,reaction-safety-constrained,misindexed_nominal,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed527268922--opaque,A_S,partition-discovery,opaque,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed527268922--aligned_nominal,A_S,partition-discovery,aligned_nominal,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed527268922--misindexed_nominal,A_S,partition-discovery,misindexed_nominal,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed946166808--opaque,A_S,partition-discovery,opaque,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed946166808--aligned_nominal,A_S,partition-discovery,aligned_nominal,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed946166808--misindexed_nominal,A_S,partition-discovery,misindexed_nominal,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed650846081--opaque,A_S,partition-discovery,opaque,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed650846081--aligned_nominal,A_S,partition-discovery,aligned_nominal,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed650846081--misindexed_nominal,A_S,partition-discovery,misindexed_nominal,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed110564668--opaque,A_S,partition-discovery,opaque,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed110564668--aligned_nominal,A_S,partition-discovery,aligned_nominal,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed110564668--misindexed_nominal,A_S,partition-discovery,misindexed_nominal,completed,completed,6,6,6,0.0
