locus,stage,prior_arm,scored_cell_count,mean_normalized_mae
A_E,after_experiment_2,opaque,25,0.18808758482954777
A_E,after_experiment_2,aligned_nominal,25,0.18799541955044494
A_E,after_experiment_2,misindexed_nominal,25,0.2077910354034168
A_E,after_experiment_4,opaque,25,0.17322392198554548
A_E,after_experiment_4,aligned_nominal,25,0.18669955098765964
A_E,after_experiment_4,misindexed_nominal,25,0.19927215415234986
A_E,after_experiment_6,opaque,25,0.16843155230037246
A_E,after_experiment_6,aligned_nominal,25,0.1931636115398792
A_E,after_experiment_6,misindexed_nominal,25,0.2011496917042695
A_E,final,opaque,25,0.17165665994874513
A_E,final,aligned_nominal,25,0.19800193336010352
A_E,final,misindexed_nominal,25,0.20311420251067105
A_E,pre_evidence,opaque,25,0.28222896719739465
A_E,pre_evidence,aligned_nominal,25,0.2950011626935564
A_E,pre_evidence,misindexed_nominal,25,0.30056126458213356
A_P,after_experiment_2,opaque,10,0.13856549043520838
A_P,after_experiment_2,aligned_nominal,10,0.11150198150875221
A_P,after_experiment_2,misindexed_nominal,10,0.17790422819227386
A_P,after_experiment_4,opaque,10,0.1272444136957221
A_P,after_experiment_4,aligned_nominal,10,0.11158249397515804
A_P,after_experiment_4,misindexed_nominal,10,0.15872885287880295
A_P,after_experiment_7,opaque,10,0.1315610989059215
A_P,after_experiment_7,aligned_nominal,10,0.11961018636514295
A_P,after_experiment_7,misindexed_nominal,10,0.14871050588357126
A_P,final,opaque,10,0.13659113946844686
A_P,final,aligned_nominal,10,0.13926051936362732
A_P,final,misindexed_nominal,10,0.15210049028873618
A_P,pre_evidence,opaque,10,0.2261123964181994
A_P,pre_evidence,aligned_nominal,10,0.1717906270118013
A_P,pre_evidence,misindexed_nominal,10,0.21719015150866955
A_S,after_experiment_3,opaque,10,0.17908618727588083
A_S,after_experiment_3,aligned_nominal,10,0.16883014870393392
A_S,after_experiment_3,misindexed_nominal,10,0.18500453325234653
A_S,after_experiment_6,opaque,10,0.17477380472753187
A_S,after_experiment_6,aligned_nominal,10,0.1475955861731835
A_S,after_experiment_6,misindexed_nominal,10,0.17510455367013492
A_S,after_experiment_9,opaque,10,0.17356994304054096
A_S,after_experiment_9,aligned_nominal,10,0.13742193249180903
A_S,after_experiment_9,misindexed_nominal,10,0.1496524994744701
A_S,final,opaque,10,0.17201639395463425
A_S,final,aligned_nominal,10,0.1678327744896344
A_S,final,misindexed_nominal,10,0.1448851336313038
A_S,pre_evidence,opaque,10,0.32852880360106307
A_S,pre_evidence,aligned_nominal,10,0.3599485589269765
A_S,pre_evidence,misindexed_nominal,10,0.2938272622617054
