cell_id,block,task,task_group,world_seed,arm,experiment_index,leaderboard_score,recipe_sha256,committed_operation_count,committed_operations
A_E_public--electrochemical-conversion--seed187256385--aligned_nominal,A_E_public,electrochemical-conversion,A-E Electrochemistry,187256385,aligned_nominal,1,0.280335577536862,2e3a8981f6d7455ea43020c7697137513d23ab0905c0c37a72b326292aa689a3,6,"[{""amount_mol"": 0.02, ""operation"": ""add_reagent""}, {""operation"": ""add_solvent"", ""solvent"": 2, ""volume_L"": 0.04}, {""current_mA"": 150, ""electrolyte_profile"": 2, ""operation"": ""set_potential"", ""potential_V"": -1.0}, {""duration_s"": 14400, ""operation"": ""electrolyze""}, {""operation"": ""terminate""}, {""instrument"": ""final_assay"", ""operation"": ""measure""}]"
A_E_public--electrochemical-conversion--seed187256385--aligned_nominal,A_E_public,electrochemical-conversion,A-E Electrochemistry,187256385,aligned_nominal,2,0.3190493397942415,d3d031c0843b54cc3810fc1c60588fad16ec98c2f04a4e2f37f31a6730c9bac7,6,"[{""amount_mol"": 0.02, ""operation"": ""add_reagent""}, {""operation"": ""add_solvent"", ""solvent"": 0, ""volume_L"": 0.04}, {""current_mA"": 200, ""electrolyte_profile"": 3, ""operation"": ""set_potential"", ""potential_V"": -1.2}, {""duration_s"": 14400, ""operation"": ""electrolyze""}, {""operation"": ""terminate""}, {""instrument"": ""final_assay"", ""operation"": ""measure""}]"
A_E_public--electrochemical-conversion--seed187256385--aligned_nominal,A_E_public,electrochemical-conversion,A-E Electrochemistry,187256385,aligned_nominal,3,0.3174388766255437,c1b2586ff8cdabf22781e70cedc89692af7a15cffcf2084b0a3bcce1d59184e7,6,"[{""amount_mol"": 0.02, ""operation"": ""add_reagent""}, {""operation"": ""add_solvent"", ""solvent"": 2, ""volume_L"": 0.04}, {""current_mA"": 150, ""electrolyte_profile"": 3, ""operation"": ""set_potential"", ""potential_V"": -1.0}, {""duration_s"": 14400, ""operation"": ""electrolyze""}, {""operation"": ""terminate""}, {""instrument"": ""final_assay"", ""operation"": ""measure""}]"
A_E_public--electrochemical-conversion--seed187256385--aligned_nominal,A_E_public,electrochemical-conversion,A-E Electrochemistry,187256385,aligned_nominal,4,0.30089687230424284,d2d207746b603911ba2faa54f2bfe191aa6aa4368782f8492f03f1b238dacf1d,6,"[{""amount_mol"": 0.02, ""operation"": ""add_reagent""}, {""operation"": ""add_solvent"", ""solvent"": 2, ""volume_L"": 0.04}, {""current_mA"": 200, ""electrolyte_profile"": 3, ""operation"": ""set_potential"", ""potential_V"": -1.2}, {""duration_s"": 14400, ""operation"": ""electrolyze""}, {""operation"": ""terminate""}, {""instrument"": ""final_assay"", ""operation"": ""measure""}]"
A_E_public--electrochemical-conversion--seed187256385--aligned_nominal,A_E_public,electrochemical-conversion,A-E Electrochemistry,187256385,aligned_nominal,5,0.2893416457793393,3d37e7d2fc989ad9ec94575d26cca43c4f62e151881bb4850a4f281621a1d9d7,6,"[{""amount_mol"": 0.02, ""operation"": ""add_reagent""}, {""operation"": ""add_solvent"", ""solvent"": 1, ""volume_L"": 0.04}, {""current_mA"": 200, ""electrolyte_profile"": 3, ""operation"": ""set_potential"", ""potential_V"": -1.2}, {""duration_s"": 14400, ""operation"": ""electrolyze""}, {""operation"": ""terminate""}, {""instrument"": ""final_assay"", ""operation"": ""measure""}]"
A_E_public--electrochemical-conversion--seed187256385--aligned_nominal,A_E_public,electrochemical-conversion,A-E Electrochemistry,187256385,aligned_nominal,6,0.3429253066049577,8c6ab473f7e7cf24fe292386458c35ebd96c298a94a78f6dee051a58b59d086f,6,"[{""amount_mol"": 0.02, ""operation"": ""add_reagent""}, {""operation"": ""add_solvent"", ""solvent"": 0, ""volume_L"": 0.04}, {""current_mA"": 175, ""electrolyte_profile"": 3, ""operation"": ""set_potential"", ""potential_V"": -1.1}, {""duration_s"": 14400, ""operation"": ""electrolyze""}, {""operation"": ""terminate""}, {""instrument"": ""final_assay"", ""operation"": ""measure""}]"
A_E_public--electrochemical-conversion--seed187256385--aligned_nominal,A_E_public,electrochemical-conversion,A-E Electrochemistry,187256385,aligned_nominal,7,0.338610068835594,8c6ab473f7e7cf24fe292386458c35ebd96c298a94a78f6dee051a58b59d086f,6,"[{""amount_mol"": 0.02, ""operation"": ""add_reagent""}, {""operation"": ""add_solvent"", ""solvent"": 0, ""volume_L"": 0.04}, {""current_mA"": 175, ""electrolyte_profile"": 3, ""operation"": ""set_potential"", ""potential_V"": -1.1}, {""duration_s"": 14400, ""operation"": ""electrolyze""}, {""operation"": ""terminate""}, {""instrument"": ""final_assay"", ""operation"": ""measure""}]"
A_E_public--electrochemical-conversion--seed187256385--aligned_nominal,A_E_public,electrochemical-conversion,A-E Electrochemistry,187256385,aligned_nominal,8,0.3421689402775941,8c6ab473f7e7cf24fe292386458c35ebd96c298a94a78f6dee051a58b59d086f,6,"[{""amount_mol"": 0.02, ""operation"": ""add_reagent""}, {""operation"": ""add_solvent"", ""solvent"": 0, ""volume_L"": 0.04}, {""current_mA"": 175, ""electrolyte_profile"": 3, ""operation"": ""set_potential"", ""potential_V"": -1.1}, {""duration_s"": 14400, ""operation"": ""electrolyze""}, {""operation"": ""terminate""}, {""instrument"": ""final_assay"", ""operation"": ""measure""}]"
A_E_public--electrochemical-conversion--seed187256385--misindexed_nominal,A_E_public,electrochemical-conversion,A-E Electrochemistry,187256385,misindexed_nominal,1,0.3158674268595762,a1a9bb0202c3a51025608b1b3071b0e5187dcc3a253dae642cba54e461cdaf3f,6,"[{""amount_mol"": 0.02, ""operation"": ""add_reagent""}, {""operation"": ""add_solvent"", ""solvent"": 1, ""volume_L"": 0.04}, {""current_mA"": 60.0, ""electrolyte_profile"": 1, ""operation"": ""set_potential"", ""potential_V"": -0.7}, {""duration_s"": 14400.0, ""operation"": ""electrolyze""}, {""operation"": ""terminate""}, {""instrument"": ""final_assay"", ""operation"": ""measure""}]"
A_E_public--electrochemical-conversion--seed187256385--misindexed_nominal,A_E_public,electrochemical-conversion,A-E Electrochemistry,187256385,misindexed_nominal,2,0.29992452028551847,4765bd207eac1658e4b4ecd9ba1f2ea04354f02e5202091ffe71a25a63907bb7,6,"[{""amount_mol"": 0.02, ""operation"": ""add_reagent""}, {""operation"": ""add_solvent"", ""solvent"": 2, ""volume_L"": 0.04}, {""current_mA"": 150.0, ""electrolyte_profile"": 3, ""operation"": ""set_potential"", ""potential_V"": -1.1}, {""duration_s"": 14400.0, ""operation"": ""electrolyze""}, {""operation"": ""terminate""}, {""instrument"": ""final_assay"", ""operation"": ""measure""}]"
